pincode,locality,district,state,lat,lng,office_count
585310,Ballundagi,Kalaburagi,Karnataka,17.010000,76.695000,28
585311,Bhimalli,Kalaburagi,Karnataka,17.450000,76.720000,9
585312,Bolewad,Kalaburagi,Karnataka,17.300000,77.150000,14
585313,Chandankera,Kalaburagi,Karnataka,17.600000,77.040000,14
585314,Alanga,Kalaburagi,Karnataka,17.690000,76.620000,10
585315,Ajalapur,Yadgir,Karnataka,16.665000,77.415000,11
585316,Ambalga,Kalaburagi,Karnataka,17.570000,76.847236,14
585317,Belgumpa,Kalaburagi,Karnataka,17.220000,77.055000,12
585318,Chandapur,Kalaburagi,Karnataka,17.020000,77.360000,15
585319,Balkal,Yadgir,Karnataka,16.700000,77.020000,8
585320,Chintanpalli,Kalaburagi,Karnataka,17.270000,77.350000,10
585321,Algera,Yadgir,Karnataka,16.780000,77.305000,18
585322,Arankallur,Kalaburagi,Karnataka,17.450000,77.070000,11
585323,Ganganal,Yadgir,Karnataka,16.650000,76.870000,4
585324,Gadikeshwar,Kalaburagi,Karnataka,17.385000,77.255000,12
585325,Aloor,Kalaburagi,Karnataka,16.840000,76.540000,16
585326,Badalgaon,Bidar,Karnataka,18.252944,77.415667,22
585327,Basavakalyan Eng College,Bidar,Karnataka,17.869153,76.866667,19
585328,Alandi,Bidar,Karnataka,18.046167,77.213444,18
585329,Kappargaon,Bidar,Karnataka,17.762056,77.179222,10
585330,Dhannura,Bidar,Karnataka,17.769889,77.129611,7
585331,Islampur,Bidar,Karnataka,17.911639,77.519361,8
585353,Dhumansur,Bidar,Karnataka,17.783694,77.111389,6
585355,Bendebembli,Yadgir,Karnataka,16.525000,77.110000,8
585367,"Central University of Karnataka,Kad",Kalaburagi,Karnataka,17.341333,76.834472,1
585401,Bidar,Bidar,Karnataka,17.914736,77.518333,4
585402,Aliember,Bidar,Karnataka,17.907361,77.527139,16
585403,Amlapur,Bidar,Karnataka,17.908639,77.515361,21
585404,Aliabad,Bidar,Karnataka,17.779700,78.037150,2
585411,Bhatasangvi,Bidar,Karnataka,17.911639,77.519361,10
585412,Banhalli,Bidar,Karnataka,17.698056,77.213667,8
585413,Dhannura,Bidar,Karnataka,17.590000,77.190000,13
585414,Alura,Bidar,Karnataka,17.911639,77.519361,6
585415,Byalhalli,Bidar,Karnataka,17.911639,77.519361,6
585416,Alwai,Bidar,Karnataka,17.911639,77.519361,12
585417,Chandeshwar,Bidar,Karnataka,24.110000,91.490000,15
585418,Chandanhalli,Bidar,Karnataka,17.911639,77.519361,11
585419,Chandakapur,Bidar,Karnataka,15.285917,76.644083,7
585421,Chikli,Bidar,Karnataka,17.911639,77.519361,14
585436,Balat,Bidar,Karnataka,17.911639,77.519361,9
585437,Chiknagaon,Bidar,Karnataka,17.911639,77.519361,13
585443,Belkoni,Bidar,Karnataka,17.911639,77.519361,7
585444,Ahmadabad,Bidar,Karnataka,13.321889,76.860528,6
585445,Algood,Bidar,Karnataka,17.812200,76.853400,8
585447,MANHALLI,Bidar,Karnataka,17.815500,76.797100,1
586101,Vijayapura,Vijayapura,Karnataka,16.831645,75.716381,6
586103,Bhutnal,Vijayapura,Karnataka,16.849727,75.710333,3
586104,Ainapur,Vijayapura,Karnataka,16.882821,75.661175,9
586108,Gunki,Vijayapura,Karnataka,16.728866,75.761279,12
586109,Vijayapura Jalanagar,Vijayapura,Karnataka,16.807709,75.726248,1
586111,Bhuyar,Vijayapura,Karnataka,17.300247,76.057467,5
586112,Aheri,Vijayapura,Karnataka,16.950821,75.918878,10
586113,Arjunagi,Vijayapura,Karnataka,16.621303,75.498047,19
586114,Babanagar,Vijayapura,Karnataka,16.921688,75.477411,6
586115,Bommanjogi,Vijayapura,Karnataka,16.839822,76.116500,10
